Contest,Candidate Issue,Party,Precinct Name,Total Votes,% of Total Votes
President and Vice President,Jo Jorgensen,LPF,Precinct 72,6,0.80
President and Vice President,Jo Jorgensen,LPF,Precinct 73,67,2.07
President and Vice President,Jo Jorgensen,LPF,Precinct 74,51,1.10
President and Vice President,Jo Jorgensen,LPF,Precinct 75,31,1.03
President and Vice President,Jo Jorgensen,LPF,Precinct 77,18,1.19
President and Vice President,Jo Jorgensen,LPF,Precinct 80,13,1.49
President and Vice President,Jo Jorgensen,LPF,Precinct 82,8,1.16
President and Vice President,Jo Jorgensen,LPF,Precinct 83,18,1.00
President and Vice President,Jo Jorgensen,LPF,Precinct 86,30,1.30
President and Vice President,Jo Jorgensen,LPF,Precinct 88,32,2.12
President and Vice President,Jo Jorgensen,LPF,Precinct 90,11,0.98
President and Vice President,Jo Jorgensen,LPF,Precinct 91,56,1.21
President and Vice President,Jo Jorgensen,LPF,Precinct 94,15,0.62
President and Vice President,Jo Jorgensen,LPF,Precinct 95,25,1.41
President and Vice President,Jo Jorgensen,LPF,Precinct 97,20,1.34
President and Vice President,Jo Jorgensen,LPF,Precinct 98,23,0.89
President and Vice President,Jo Jorgensen,LPF,Precinct 99,10,0.82
President and Vice President,Jo Jorgensen,LPF,Precinct 101,17,0.92
President and Vice President,Jo Jorgensen,LPF,Precinct 102,15,0.72
President and Vice President,Jo Jorgensen,LPF,Precinct 103,16,0.96
President and Vice President,Jo Jorgensen,LPF,Precinct 104,14,0.87
President and Vice President,Jo Jorgensen,LPF,Precinct 105,44,1.10
President and Vice President,Jo Jorgensen,LPF,Precinct 106,21,1.30
President and Vice President,Jo Jorgensen,LPF,Precinct 107,56,1.63
President and Vice President,Jo Jorgensen,LPF,Precinct 108,57,1.92
President and Vice President,Jo Jorgensen,LPF,Precinct 110,11,0.77
President and Vice President,Jo Jorgensen,LPF,Precinct 111,39,1.50
President and Vice President,Jo Jorgensen,LPF,Precinct 112,64,1.20
President and Vice President,Jo Jorgensen,LPF,Precinct 113,10,0.90
President and Vice President,Jo Jorgensen,LPF,Precinct 114,34,1.41
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 1,6,0.15
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 3,2,0.07
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 5,1,0.04
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 6,1,0.07
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 7,5,0.10
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 11,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 14,1,0.06
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 15,1,0.05
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 18,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 19,1,0.03
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 21,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 22,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 23,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 24,1,0.03
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 25,2,0.18
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 26,4,0.08
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 28,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 29,1,0.07
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 30,2,0.09
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 31,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 32,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 33,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 34,1,0.06
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 35,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 36,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 38,4,0.12
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 40,1,0.07
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 41,3,0.15
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 42,2,0.08
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 43,1,0.02
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 46,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 47,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 48,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 49,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 50,1,0.20
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 51,2,0.07
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 54,1,0.06
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 55,1,0.06
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 56,3,0.19
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 58,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 60,1,0.14
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 61,1,0.05
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 62,1,0.04
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 63,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 64,1,0.04
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 67,2,0.04
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 68,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 69,2,0.05
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 70,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 71,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 72,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 73,4,0.12
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 74,2,0.04
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 75,2,0.07
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 77,1,0.07
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 80,1,0.11
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 82,2,0.29
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 83,1,0.06
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 86,1,0.04
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 88,1,0.07
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 90,1,0.09
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 91,4,0.09
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 94,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 95,2,0.11
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 97,2,0.13
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 98,4,0.15
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 99,2,0.16
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 101,1,0.05
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 102,1,0.05
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 103,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 104,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 105,1,0.02
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 106,1,0.06
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 107,4,0.12
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 108,1,0.03
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 110,2,0.14
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 111,1,0.04
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 112,6,0.11
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 113,1,0.09
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Precinct 114,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 1,3,0.08
President and Vice President,Gloria La Riva,PSL,Precinct 3,6,0.22
President and Vice President,Gloria La Riva,PSL,Precinct 5,1,0.04
President and Vice President,Gloria La Riva,PSL,Precinct 6,2,0.14
President and Vice President,Gloria La Riva,PSL,Precinct 7,1,0.02
President and Vice President,Gloria La Riva,PSL,Precinct 11,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 14,4,0.25
President and Vice President,Gloria La Riva,PSL,Precinct 15,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 18,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 19,3,0.09
President and Vice President,Gloria La Riva,PSL,Precinct 21,1,0.04
President and Vice President,Gloria La Riva,PSL,Precinct 22,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 23,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 24,1,0.03
President and Vice President,Gloria La Riva,PSL,Precinct 25,1,0.09
President and Vice President,Gloria La Riva,PSL,Precinct 26,7,0.14
President and Vice President,Gloria La Riva,PSL,Precinct 28,2,0.11
President and Vice President,Gloria La Riva,PSL,Precinct 29,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 30,1,0.05
President and Vice President,Gloria La Riva,PSL,Precinct 31,5,0.32
President and Vice President,Gloria La Riva,PSL,Precinct 32,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 33,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 34,4,0.22
President and Vice President,Gloria La Riva,PSL,Precinct 35,2,0.11
President and Vice President,Gloria La Riva,PSL,Precinct 36,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 38,1,0.03
President and Vice President,Gloria La Riva,PSL,Precinct 40,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 41,1,0.05
President and Vice President,Gloria La Riva,PSL,Precinct 42,1,0.04
President and Vice President,Gloria La Riva,PSL,Precinct 43,3,0.06
President and Vice President,Gloria La Riva,PSL,Precinct 46,2,0.09
President and Vice President,Gloria La Riva,PSL,Precinct 47,2,0.20
President and Vice President,Gloria La Riva,PSL,Precinct 48,1,0.09
President and Vice President,Gloria La Riva,PSL,Precinct 49,2,0.15
President and Vice President,Gloria La Riva,PSL,Precinct 50,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 51,1,0.04
President and Vice President,Gloria La Riva,PSL,Precinct 54,3,0.17
President and Vice President,Gloria La Riva,PSL,Precinct 55,2,0.11
President and Vice President,Gloria La Riva,PSL,Precinct 56,3,0.19
President and Vice President,Gloria La Riva,PSL,Precinct 58,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 60,3,0.41
President and Vice President,Gloria La Riva,PSL,Precinct 61,4,0.18
President and Vice President,Gloria La Riva,PSL,Precinct 62,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 63,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 64,4,0.18
President and Vice President,Gloria La Riva,PSL,Precinct 67,1,0.02
President and Vice President,Gloria La Riva,PSL,Precinct 68,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 69,4,0.11
President and Vice President,Gloria La Riva,PSL,Precinct 70,2,0.09
President and Vice President,Gloria La Riva,PSL,Precinct 71,1,0.07
President and Vice President,Gloria La Riva,PSL,Precinct 72,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 73,4,0.12
President and Vice President,Gloria La Riva,PSL,Precinct 74,3,0.06
President and Vice President,Gloria La Riva,PSL,Precinct 75,3,0.10
President and Vice President,Gloria La Riva,PSL,Precinct 77,5,0.33
President and Vice President,Gloria La Riva,PSL,Precinct 80,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 82,1,0.15
President and Vice President,Gloria La Riva,PSL,Precinct 83,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 86,1,0.04
President and Vice President,Gloria La Riva,PSL,Precinct 88,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 90,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 91,7,0.15
President and Vice President,Gloria La Riva,PSL,Precinct 94,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 95,1,0.06
President and Vice President,Gloria La Riva,PSL,Precinct 97,1,0.07
President and Vice President,Gloria La Riva,PSL,Precinct 98,3,0.12
President and Vice President,Gloria La Riva,PSL,Precinct 99,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 101,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 102,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 103,1,0.06
President and Vice President,Gloria La Riva,PSL,Precinct 104,3,0.19
President and Vice President,Gloria La Riva,PSL,Precinct 105,0,0.00
President and Vice President,Gloria La Riva,PSL,Precinct 106,3,0.19
President and Vice President,Gloria La Riva,PSL,Precinct 107,5,0.15
President and Vice President,Gloria La Riva,PSL,Precinct 108,3,0.10
